age,sex,geo,TIME_PERIOD,OBS_VALUE
Y0-4,F,DE,2012,570
Y0-4,M,DE,2012,606
Y0-4,F,DE,2012,508
Y0-4,F,DE,2013,577
Y0-4,F,DE,2014,552
Y0-4,F,DE,2015,656
Y0-4,F,DE,2016,574
Y0-4,F,DE,2017,513
Y0-4,F,DE,2018,462
Y0-4,F,DE,2019,448
Y0-4,F,DE,2020,391
Y0-4,F,DE,2021,459
Y0-4,M,DE,2012,531
Y0-4,M,DE,2013,615
Y0-4,M,DE,2014,693
Y0-4,M,DE,2015,667
Y0-4,M,DE,2016,509
Y0-4,M,DE,2017,563
Y0-4,M,DE,2018,515
Y0-4,M,DE,2019,511
Y0-4,M,DE,2020,458
Y0-4,M,DE,2021,492
Y0-4,F,DE,2011,3406
Y0-4,F,DE,2012,4139
Y0-4,M,DE,2011,3618
Y0-4,M,DE,2012,4299
Y0-4,F,DE,2011,2547
Y0-4,F,DE,2012,3121
Y0-4,M,DE,2011,2758
Y0-4,M,DE,2012,3258
Y0-4,F,DE,2011,5426
Y0-4,F,DE,2012,6755
Y0-4,M,DE,2011,5786
Y0-4,M,DE,2012,7195
Y0-4,F,DE,2011,4567
Y0-4,F,DE,2012,5737
Y0-4,M,DE,2011,4926
Y0-4,M,DE,2012,6154
Y0-4,F,DE,2008,7058
Y0-4,F,DE,2009,4415
Y0-4,F,DE,2010,6245
Y0-4,F,DE,2011,6618
Y0-4,F,DE,2012,8495
Y0-4,M,DE,2008,6738
Y0-4,M,DE,2009,4744
Y0-4,M,DE,2010,6595
Y0-4,M,DE,2011,7002
Y0-4,M,DE,2012,8988
Y0-4,F,DE,2008,4447
Y0-4,F,DE,2009,3296
Y0-4,F,DE,2010,5460
Y0-4,F,DE,2011,5759
Y0-4,F,DE,2012,7477
Y0-4,M,DE,2008,4324
Y0-4,M,DE,2009,3495
Y0-4,M,DE,2010,5720
Y0-4,M,DE,2011,6142
Y0-4,M,DE,2012,7947
Y0-4,F,DE,2020,6363
Y0-4,F,DE,2021,7831
Y0-4,M,DE,2020,6918
Y0-4,M,DE,2021,8413
Y0-4,F,DE,2013,9060
Y0-4,F,DE,2014,10744
Y0-4,F,DE,2015,11841
Y0-4,F,DE,2016,10281
Y0-4,F,DE,2017,9623
Y0-4,F,DE,2018,8218
Y0-4,F,DE,2019,7853
Y0-4,M,DE,2013,9622
Y0-4,M,DE,2014,11661
Y0-4,M,DE,2015,12510
Y0-4,M,DE,2016,10843
Y0-4,M,DE,2017,10158
Y0-4,M,DE,2018,8908
Y0-4,M,DE,2019,8429
Y0-4,F,DE,2016,1916
Y0-4,M,DE,2016,1980
Y0-4,F,DE,2008,4337
Y0-4,F,DE,2009,4477
Y0-4,F,DE,2010,7318
Y0-4,F,DE,2011,5479
Y0-4,F,DE,2012,6339
Y0-4,M,DE,2008,4929
Y0-4,M,DE,2009,4778
Y0-4,M,DE,2010,7945
Y0-4,M,DE,2011,5842
Y0-4,M,DE,2012,6878
Y0-4,F,DE,2008,9589
Y0-4,F,DE,2009,8586
Y0-4,F,DE,2010,14242
Y0-4,F,DE,2011,12140
Y0-4,F,DE,2012,14894
Y0-4,F,DE,2013,18867
Y0-4,F,DE,2014,25592
Y0-4,F,DE,2015,53013
Y0-4,F,DE,2016,33475
Y0-4,F,DE,2017,26528
Y0-4,F,DE,2018,22530
Y0-4,F,DE,2019,21170
Y0-4,F,DE,2020,15911
Y0-4,F,DE,2021,21617
Y0-4,M,DE,2008,10115
Y0-4,M,DE,2009,9128
Y0-4,M,DE,2010,15205
Y0-4,M,DE,2011,12967
Y0-4,M,DE,2012,15962
Y0-4,M,DE,2013,19936
Y0-4,M,DE,2014,27691
Y0-4,M,DE,2015,58632
Y0-4,M,DE,2016,35757
Y0-4,M,DE,2017,28257
Y0-4,M,DE,2018,23965
Y0-4,M,DE,2019,22574
Y0-4,M,DE,2020,17182
Y0-4,M,DE,2021,22692
Y0-4,F,DE,2008,2467
Y0-4,F,DE,2009,2150
Y0-4,F,DE,2010,3426
Y0-4,F,DE,2011,2692
Y0-4,F,DE,2012,3234
Y0-4,M,DE,2008,2926
Y0-4,M,DE,2009,2299
Y0-4,M,DE,2010,3706
Y0-4,M,DE,2011,2866
Y0-4,M,DE,2012,3415
Y0-4,F,DE,2008,359
Y0-4,F,DE,2009,904
Y0-4,F,DE,2010,1268
Y0-4,F,DE,2011,730
Y0-4,F,DE,2012,710
Y0-4,M,DE,2008,364
Y0-4,M,DE,2009,979
Y0-4,M,DE,2010,1374
Y0-4,M,DE,2011,769
Y0-4,M,DE,2012,787
Y0-4,F,DE,2008,1511
Y0-4,F,DE,2009,1423
Y0-4,F,DE,2010,2624
Y0-4,F,DE,2011,2057
Y0-4,F,DE,2012,2395
Y0-4,M,DE,2008,1639
Y0-4,M,DE,2009,1500
Y0-4,M,DE,2010,2865
Y0-4,M,DE,2011,2207
Y0-4,M,DE,2012,2676
Y0-4,F,DE,2008,2611
Y0-4,F,DE,2009,1119
Y0-4,F,DE,2010,785
Y0-4,F,DE,2011,859
Y0-4,F,DE,2012,1018
Y0-4,F,DE,2013,862
Y0-4,F,DE,2014,1127
Y0-4,F,DE,2015,1114
Y0-4,F,DE,2016,1162
Y0-4,F,DE,2017,1306
Y0-4,F,DE,2018,1599
Y0-4,F,DE,2019,1631
Y0-4,F,DE,2020,1639
Y0-4,F,DE,2021,1614
Y0-4,M,DE,2008,2414
Y0-4,M,DE,2009,1249
Y0-4,M,DE,2010,875
Y0-4,M,DE,2011,860
Y0-4,M,DE,2012,1041
Y0-4,M,DE,2013,888
Y0-4,M,DE,2014,1133
Y0-4,M,DE,2015,1064
Y0-4,M,DE,2016,1213
Y0-4,M,DE,2017,1366
Y0-4,M,DE,2018,1540
Y0-4,M,DE,2019,1735
Y0-4,M,DE,2020,1713
Y0-4,M,DE,2021,1706
Y0-4,F,DE,2008,5142
Y0-4,F,DE,2009,5290
Y0-4,F,DE,2010,8782
Y0-4,F,DE,2011,6381
Y0-4,F,DE,2012,7417
Y0-4,M,DE,2008,5791
Y0-4,M,DE,2009,5633
Y0-4,M,DE,2010,9485
Y0-4,M,DE,2011,6825
Y0-4,M,DE,2012,8015
Y0-4,F,DE,2020,9548
Y0-4,F,DE,2021,13786
Y0-4,M,DE,2020,10264
Y0-4,M,DE,2021,14279
Y0-4,F,DE,2013,9807
Y0-4,F,DE,2014,14848
Y0-4,F,DE,2015,41172
Y0-4,F,DE,2016,23194
Y0-4,F,DE,2017,16905
Y0-4,F,DE,2018,14312
Y0-4,F,DE,2019,13317
Y0-4,M,DE,2013,10314
Y0-4,M,DE,2014,16030
Y0-4,M,DE,2015,46122
Y0-4,M,DE,2016,24914
Y0-4,M,DE,2017,18099
Y0-4,M,DE,2018,15057
Y0-4,M,DE,2019,14145
Y0-4,F,DE,2008,12382
Y0-4,F,DE,2009,9784
Y0-4,F,DE,2010,16032
Y0-4,F,DE,2011,13307
Y0-4,F,DE,2012,15968
Y0-4,F,DE,2013,19875
Y0-4,F,DE,2014,26852
Y0-4,F,DE,2015,55912
Y0-4,F,DE,2016,35507
Y0-4,F,DE,2017,28035
Y0-4,F,DE,2018,24289
Y0-4,F,DE,2019,23098
Y0-4,F,DE,2020,18284
Y0-4,F,DE,2021,23342
Y0-4,M,DE,2008,12926
Y0-4,M,DE,2009,10416
Y0-4,M,DE,2010,17148
Y0-4,M,DE,2011,14166
Y0-4,M,DE,2012,17073
Y0-4,M,DE,2013,20980
Y0-4,M,DE,2014,28966
Y0-4,M,DE,2015,61624
Y0-4,M,DE,2016,37889
Y0-4,M,DE,2017,29813
Y0-4,M,DE,2018,25687
Y0-4,M,DE,2019,24668
Y0-4,M,DE,2020,19708
Y0-4,M,DE,2021,24521
Y0-4,F,DE,2008,182
Y0-4,F,DE,2009,79
Y0-4,F,DE,2010,1005
Y0-4,F,DE,2011,308
Y0-4,F,DE,2012,56
Y0-4,F,DE,2013,146
Y0-4,F,DE,2014,133
Y0-4,F,DE,2015,1785
Y0-4,F,DE,2016,870
Y0-4,F,DE,2017,201
Y0-4,F,DE,2018,160
Y0-4,F,DE,2019,297
Y0-4,F,DE,2020,734
Y0-4,F,DE,2021,111
Y0-4,M,DE,2008,397
Y0-4,M,DE,2009,39
Y0-4,M,DE,2010,1068
Y0-4,M,DE,2011,339
Y0-4,M,DE,2012,70
Y0-4,M,DE,2013,156
Y0-4,M,DE,2014,142
Y0-4,M,DE,2015,1928
